depth,acumulative
1,0.0565882996172772
2,0.19588448730056165
3,0.40416397435260204
4,0.6126112132809782
5,0.7789465182166112
6,0.8831266464536011
7,0.939099855857647
8,0.9652442964362046
9,0.977918882648243
10,0.9835789552164621
11,0.9866668323475322
12,0.9886425766688205
13,0.9900591480689895
14,0.9914632934042448
15,0.9924698046622595
16,0.9932712858491973
17,0.9939733585168249
18,0.9945822356975993
19,0.9951351955862617
20,0.9955825339231572
21,0.9960174461951389
22,0.9963405238828967
23,0.9965952582136289
24,0.9968375664794473
25,0.9970301704856106
26,0.9971792832645757
27,0.9973408221084546
28,0.9975582782444455
29,0.9976141955365575
30,0.9977322431532383
31,0.9978440777374621
32,0.9979372732243154
33,0.9979994035488842
34,0.998061533873453
35,0.9981174511655649
36,0.9982044336199613
37,0.9982479248471594
38,0.9983100551717282
39,0.998372185496297
40,0.998428102788409
41,0.998484020080521
42,0.998533724340176
43,0.9985772155673741
44,0.9986020676972016
45,0.9986517719568567
46,0.9986952631840549
47,0.9987325413787962
48,0.9987760326059943
49,0.9988008847358218
50,0.9988568020279338
51,0.9988940802226751
52,0.9989127193200458
53,0.998949997514787
54,0.9989686366121576
55,0.9989810626770714
56,0.9989934887419852
57,0.9990059148068989
58,0.9990307669367264
59,0.999055619066554
60,0.9990804711963815
61,0.9990991102937522
63,0.9991301754560366
64,0.9991550275858642
65,0.999161240618321
66,0.9991985188130623
67,0.999217157910433
68,0.9992295839753467
69,0.9992482230727173
70,0.9992606491376311
71,0.9992792882350018
72,0.9992979273323724
73,0.9993103533972861
74,0.999316566429743
76,0.9993538446244843
77,0.9993662706893981
80,0.9993786967543118
81,0.9993849097867687
82,0.9994035488841394
83,0.9994097619165963
84,0.9994159749490531
85,0.9994221879815101
86,0.9994284010139669
87,0.9994408270788807
88,0.9994532531437944
89,0.9994656792087082
90,0.9994718922411651
91,0.9994781052736219
92,0.9994905313385357
93,0.9994967443709926
94,0.999527809533277
95,0.9995340225657339
96,0.9995402355981907
98,0.9995526616631045
99,0.9995650877280183
101,0.9995713007604752
102,0.999577513792932
104,0.999583726825389
106,0.9995899398578458
110,0.9995961528903027
112,0.9996023659227595
113,0.9996147919876733
114,0.9996272180525871
116,0.999633431085044
119,0.9996396441175008
120,0.9996520701824146
124,0.9996644962473284
126,0.9996769223122421
127,0.9996955614096128
128,0.9997079874745266
131,0.9997204135394403
136,0.9997266265718973
141,0.9997328396043541
145,0.999739052636811
146,0.9997452656692678
148,0.9997514787017248
151,0.9997701177990954
153,0.9997763308315523
157,0.9997825438640091
158,0.9997949699289229
159,0.9998011829613798
160,0.9998136090262936
161,0.9998260350912073
166,0.9998322481236642
167,0.9998384611561211
169,0.9998446741885779
170,0.9998508872210349
172,0.9998571002534917
173,0.9998695263184055
174,0.9998757393508624
175,0.9998819523833192
176,0.9998881654157762
177,0.999894378448233
178,0.9999005914806899
180,0.9999068045131467
190,0.9999130175456037
193,0.9999192305780605
200,0.9999254436105174
201,0.9999316566429743
207,0.9999378696754312
211,0.999944082707888
212,0.999950295740345
217,0.9999565087728018
228,0.9999627218052587
230,0.9999689348377155
231,0.9999751478701725
237,0.9999813609026293
238,0.9999875739350862
242,0.9999937869675432
249,1.0
