coverage,cumulative
0,0.0891805923157874
1,0.22662995679658954
2,0.4179322566402583
3,0.611822510946872
4,0.7681520040351184
5,0.8739501337947337
6,0.9363493107310632
7,0.9694049759102045
8,0.9855573595972287
9,0.993041882590045
10,0.9964123098680173
11,0.9979359049707325
12,0.9986490183030856
13,0.9990085872060209
14,0.9992113190364774
15,0.9993394206681595
16,0.9994291125435946
17,0.9994973167468094
18,0.9995521176053976
19,0.9995979206901758
20,0.9996357620068709
21,0.9996671155553846
22,0.9996937714274389
23,0.9997164567656516
24,0.9997355353056203
25,0.999751874492673
26,0.9997658278764963
27,0.9997778357513095
28,0.9997883170537768
29,0.9997976480054513
30,0.9998059324369103
31,0.999813364537619
32,0.9998201697119318
33,0.9998263883749148
34,0.9998320484556791
35,0.9998372248699576
36,0.9998419662472611
37,0.9998462407155453
38,0.9998503039083197
39,0.9998541574684733
40,0.9998578579113833
41,0.9998613904510499
42,0.9998645622123189
43,0.9998674589539895
44,0.9998702249217054
45,0.999872753984845
46,0.999875226861185
47,0.9998775949212145
48,0.9998799242090666
49,0.999882156237897
50,0.9998842078775285
51,0.9998862095733382
52,0.9998880890382152
53,0.9998898357576709
54,0.9998914333028164
55,0.9998931051065392
56,0.9998947571955954
57,0.9998963839841629
58,0.9998979871151306
59,0.9998994860869433
60,0.9999009364292453
61,0.9999023956431472
62,0.9999037868414495
63,0.9999051119956189
64,0.9999063589482777
65,0.9999075865148478
66,0.9999088075098623
67,0.9999099963042548
68,0.9999111164258923
69,0.9999122503477962
70,0.9999133293972116
71,0.999914389389116
72,0.9999154102802652
73,0.9999163845133702
74,0.9999173492177197
75,0.9999182744927361
76,0.9999191475238861
77,0.9999200106977029
78,0.9999208304992533
79,0.9999216407720481
80,0.9999224267300877
81,0.9999231620871497
82,0.9999238866011452
83,0.999924584171763
84,0.9999252853567363
85,0.9999259793129986
86,0.9999267018555275
87,0.9999274181550785
88,0.999928080896452
89,0.9999287735384033
90,0.999929412622177
91,0.9999300500630619
92,0.9999306434745249
93,0.9999312559434987
94,0.9999318677553171
95,0.9999324736527355
96,0.9999330641069984
97,0.9999336384609504
98,0.9999341839000581
99,0.9999347319677879
100,0.9999352747782734
101,0.9999358034599145
102,0.9999363255700001
103,0.9999368411085302
104,0.9999373454754159
105,0.9999378393278128
106,0.999938338437454
107,0.9999388339327399
108,0.999939302484648
109,0.9999397657793118
110,0.9999402353169532
111,0.9999406742968615
112,0.9999410860048145
113,0.9999414875268564
114,0.9999419005491205
115,0.9999422958281846
116,0.9999426957073376
117,0.9999431001865795
118,0.9999435026943547
119,0.9999438914018633
120,0.9999442814236831
121,0.999944647787903
122,0.9999450276238118
123,0.9999454114026538
124,0.999945788938518
125,0.9999461434739381
126,0.9999465058952247
127,0.9999468739023335
128,0.9999472435523312
129,0.9999476053164623
130,0.9999479467087713
131,0.9999483022299246
132,0.9999486600511224
133,0.999948997500498
134,0.999949306692185
135,0.9999496355985384
136,0.999949940847292
137,0.999950258910579
138,0.9999505483875993
139,0.9999508460790641
140,0.9999511549421733
141,0.9999514421191493
142,0.9999517598538584
143,0.9999520381592345
144,0.9999523023357662
145,0.9999525724266978
146,0.9999528553321626
147,0.9999531359375831
148,0.9999534007712703
149,0.9999536534475798
150,0.9999539156526448
151,0.9999541742433543
152,0.9999544390770415
153,0.9999546937248177
154,0.999954955601305
155,0.99995521484917
156,0.999955477054235
157,0.9999557271019224
158,0.9999559594064098
159,0.9999562127398749
160,0.99995647198774
161,0.9999567190782273
162,0.9999569408682258
163,0.9999571777728021
164,0.9999574012056897
165,0.9999576279243549
166,0.999957844785687
167,0.9999580751187077
168,0.9999582992087508
169,0.9999585384133715
170,0.9999587657891923
171,0.9999589869220353
172,0.9999592136407006
173,0.9999594262305215
174,0.999959621734298
175,0.9999598139522967
176,0.9999599982844289
177,0.9999601822879833
178,0.9999603715487821
179,0.9999605552237588
180,0.9999607313414466
181,0.9999609192879343
182,0.9999610924484221
183,0.9999612810520654
184,0.9999614581554865
185,0.9999616339445966
186,0.9999618057907733
187,0.9999619825656166
188,0.9999621678834821
189,0.9999623380867699
190,0.9999625253761021
191,0.9999627146369009
192,0.9999628897688554
193,0.9999630649008099
194,0.9999632413470755
195,0.9999633941357412
196,0.999963564339029
197,0.999963724027828
198,0.999963885030938
199,0.9999640529341814
200,0.9999642024370694
201,0.9999643519399574
202,0.999964507685823
203,0.9999646562029776
204,0.9999647981485766
205,0.9999649381227091
206,0.9999650711967083
207,0.999965215113774
208,0.9999653458877288
209,0.9999654776474168
210,0.999965600535505
211,0.9999657355809708
212,0.99996586569777
213,0.9999659984431915
214,0.9999661160740352
215,0.9999662461908344
216,0.9999663703932337
217,0.9999665057672773
218,0.9999666411413209
219,0.9999667630436757
220,0.9999668773887417
221,0.999966995676741
222,0.999967114293318
223,0.9999672325813173
224,0.999967354483672
225,0.9999674806575379
226,0.9999676111029149
227,0.9999677333338475
228,0.9999678749508688
229,0.9999680122963791
230,0.999968138470245
231,0.9999682810729996
232,0.9999684141469988
233,0.9999685380208202
234,0.9999686707662416
235,0.9999688025259297
236,0.9999689372428178
237,0.9999690653881503
238,0.9999691849904607
239,0.9999693042641933
240,0.9999694370096147
241,0.9999695638406362
242,0.9999696778571243
243,0.999969788259257
244,0.9999699052329452
245,0.9999700189208556
246,0.9999701283372548
247,0.9999702397251208
248,0.9999703488129423
249,0.9999704516577861
250,1.0
